year,Gini_dta_5yr,Gini_data_wealth_trend,psid_ntx_govt__,psid_nts_govt__,psid_ntp_govt__,psid_ntl_govt__,psid_ntk_govt__,psid_ntc_govt__,psid_nsh_govt__,psid_nls_govt__,psid_nlb_govt__,psid_nga_govt__,psid_nds_govt__,psid_ndp_govt__,psid_ndo_govt__,psid_ndm_govt__,psid_ncs_govt__,psid_ncp_govt__,psid_all_govt__,nstr_ndm_govt__,nstr_all_govt__,ndel_ndm_govt__,ndel_all_govt__,hrat_ndm_govt__,hrat_all_govt__,gcbo_ndm_govt__,gcbo_all_govt__,exor_all_govt__,crr3_ndm_govt__,crr3_all_govt__,beqs_ndm_govt__,beqs_all_govt__,_merge
1945,.8003006,.8069576,.74642926,.74685216,.74576426,.74658519,.74610305,.74550337,.73027939,.74617606,.73085225,.74654818,.74043578,.74581325,.75518435,.74979568,.74615294,.74607706,.74584442,.71771443,.71359468,.55433452,.5513311,.75297534,.75519449,.75164628,.74774587,.73944062,.71577179,.71152461,.7424491,.7421335,3
1950,.80781406,.80206454,.74218988,.74270725,.74066263,.74217522,.74132258,.74019456,.725788,.74146241,.72694552,.74205101,.73298818,.7406252,.74869603,.74083048,.74138534,.74117416,.74072552,.71111196,.71064514,.53199536,.53436899,.74476945,.74987173,.74218476,.74210298,.72860986,.70710373,.70672888,.73555565,.73568028,3
1955,.79963416,.79687089,.73854065,.73909837,.73549759,.73814261,.73671734,.73470646,.72029513,.73696798,.72239357,.73781615,.7256099,.73527241,.7424888,.73219699,.73676252,.73630887,.73551232,.70373052,.70643121,.51313126,.51969957,.73609382,.74407232,.73325998,.73658234,.72312039,.6989134,.70188373,.72675514,.72814667,3
1960,.80923545,.79133832,.73389733,.73600405,.7301749,.73381484,.73258358,.72960395,.71468687,.73282766,.71770555,.73428416,.71925706,.730281,.73757774,.72531128,.73263621,.73182696,.73076421,.696558,.7013185,.50531518,.51406032,.72903442,.7387206,.72608268,.73152769,.72547042,.6935966,.69857901,.71803808,.72085553,3
1965,.78853381,.78556502,.72959089,.73338985,.72473389,.72922444,.72905296,.72513968,.70915908,.72929674,.71278256,.73083943,.7137593,.72538018,.73356974,.71990347,.72864872,.72742349,.72619689,.69031435,.69603008,.50752288,.51704806,.7235443,.73378241,.72029966,.7265842,.72978103,.69073093,.6964345,.71129632,.71559429,3
1970,.7842024,.78051955,.72713971,.73035222,.72027773,.72345805,.72678471,.72068912,.70420444,.72592962,.70806271,.72652155,.70860165,.72025299,.7292276,.7147038,.72415644,.72271937,.72139221,.68569821,.69208413,.50895554,.51967138,.71888614,.72901952,.71474785,.72142011,.72546917,.68891877,.69510019,.70585674,.71147513,3
1975,.74848241,.7772938,.72831166,.72748435,.71924698,.72004217,.72492731,.71836245,.70216322,.72361153,.70576513,.72295582,.70466578,.71676493,.72477871,.70909691,.72063404,.71963412,.71818179,.68319494,.69193655,.50447845,.51899153,.71355933,.7252295,.70895505,.71799153,.71102154,.68701547,.69520223,.70159692,.70895565,3
1980,.77336997,.77715337,.73266625,.72953182,.72452068,.72188073,.72687566,.7220782,.70688641,.72667575,.70979297,.72530127,.70637602,.71921289,.72669613,.709553,.72279102,.7224775,.72104543,.68750995,.69840157,.50221658,.52166641,.71338481,.72690958,.70936263,.72077322,.701051,.69148242,.70129681,.70644033,.71460235,3
1985,.78572822,.77991647,.73757535,.73321205,.72905886,.72689575,.73111904,.72739285,.7115612,.73135024,.71359766,.72979778,.70997709,.72331125,.73138076,.71278298,.72688222,.72716075,.72575587,.69121355,.70375299,.50560868,.5286386,.71603388,.73075372,.71265686,.72552437,.69758528,.69568849,.70655638,.71173173,.72056603,3
1990,.77975559,.78524148,.74219757,.73774433,.73269254,.73264569,.73584098,.73256761,.71590805,.736803,.71673059,.7346496,.7136333,.72735465,.73687881,.71672601,.73114443,.73172623,.73062795,.69479442,.70860475,.50926024,.53542203,.7202273,.73546565,.71678233,.73060805,.70515698,.69856113,.71034735,.71516573,.72496003,3
1995,.79024619,.7930994,.74527645,.74233931,.73557937,.73532188,.74121648,.73690063,.71957535,.74225795,.71857965,.73865157,.71673214,.73054117,.74221414,.72074914,.73440391,.7349596,.73464632,.69872141,.7128377,.51407701,.54117733,.72591269,.74034142,.72103441,.73496807,.71844208,.69993728,.71208322,.71656597,.72720027,3
2000,.80281365,.8032012,.74978548,.74809277,.73931903,.73986506,.7462666,.74168324,.72365355,.74873233,.72019815,.74339414,.72056103,.73416263,.7478705,.72523886,.73799372,.73821068,.7391811,.70302504,.7175917,.52391481,.5517419,.73158479,.74549562,.72570521,.73986208,.72885835,.70248002,.71513313,.718059,.72989988,3
