year,age,edclass,race,sex,population,tmort,trate
1990,25,0,0,0,4072624,4766,117.0252914428711
1990,25,1,0,0,3228298.25,4433.142578125,137.3213500976563
1990,25,3,0,0,844325.6875,332.8574523925781,39.42287445068359
1990,26,0,0,0,4193919,4981,118.7671966552734
1990,26,1,0,0,3226245.25,4534.3505859375,140.5457458496094
1990,26,3,0,0,967673.75,446.6493530273438,46.15701675415039
1990,27,0,0,0,4289928,5386,125.5498962402344
1990,27,1,0,0,3296684.5,4927.98974609375,149.4832153320313
1990,27,3,0,0,993243.25,458.0103149414063,46.11260223388672
1990,28,0,0,0,4146823,5443,131.2571105957031
1990,28,1,0,0,3116308,4963.20458984375,159.2655334472656
1990,28,3,0,0,1030514.875,479.7954711914063,46.55881118774414
1990,29,0,0,0,4573753,5979,130.7241516113281
1990,29,1,0,0,3462151.5,5396.1767578125,155.8619537353516
1990,29,3,0,0,1111601.75,582.8232421875,52.43093872070313
1990,30,0,0,0,4515443,6260,138.6353454589844
1990,30,1,0,0,3490103.25,5615.48828125,160.8974761962891
1990,30,3,0,0,1025339.875,644.5120239257813,62.85837936401367
1990,31,0,0,0,4348363,6333,145.6410217285156
1990,31,1,0,0,3350575,5675.5732421875,169.3910217285156
1990,31,3,0,0,997788.0625,657.426513671875,65.88838958740234
1990,32,0,0,0,4379102,6726,153.5931396484375
1990,32,1,0,0,3302235.5,5923.31689453125,179.3729400634766
1990,32,3,0,0,1076866.5,802.6830444335938,74.53877258300781
1990,33,0,0,0,4356060,6979,160.2135925292969
1990,33,1,0,0,3265783.5,6144.98876953125,188.1627655029297
1990,33,3,0,0,1090276.375,834.01123046875,76.49539947509766
1990,34,0,0,0,4339805,7176,165.3530578613281
1990,34,1,0,0,3153969.75,6259.46630859375,198.4631042480469
1990,34,3,0,0,1185835,916.53369140625,77.29015350341797
1990,35,0,0,0,4278669,7600,177.6253356933594
1990,35,1,0,0,3200383,6539.1337890625,204.3234710693359
1990,35,3,0,0,1078285.75,1060.866455078125,98.38453674316406
1990,36,0,0,0,4072627,7616,187.0046081542969
1990,36,1,0,0,3061361.5,6458.84716796875,210.9795684814453
1990,36,3,0,0,1011265.5,1157.15283203125,114.4262161254883
1990,37,0,0,0,3999950,7824,195.6024475097656
1990,37,1,0,0,2873489.5,6581.86328125,229.0547180175781
1990,37,3,0,0,1126460.5,1242.13671875,110.2689971923828
1990,38,0,0,0,3703670,7960,214.9219512939453
1990,38,1,0,0,2614729.5,6606.07958984375,252.648681640625
1990,38,3,0,0,1088940.5,1353.920776367188,124.3337707519531
1990,39,0,0,0,3935379,8069,205.0374298095703
1990,39,1,0,0,2792639,6796.47119140625,243.3709259033203
1990,39,3,0,0,1142740.25,1272.52880859375,111.3576583862305
1990,40,0,0,0,3801208,8355,219.7985534667969
1990,40,1,0,0,2727172.75,6936.58837890625,254.3508911132813
1990,40,3,0,0,1074035.375,1418.411743164063,132.0637817382813
1990,41,0,0,0,3633442,8526,234.6535339355469
1990,41,1,0,0,2573967.5,6989.8271484375,271.5584716796875
1990,41,3,0,0,1059474.5,1536.17236328125,144.9938049316406
1990,42,0,0,0,3619859,9273,256.1701965332031
1990,42,1,0,0,2646023,7687.4150390625,290.5271301269531
