cohort,year,age,syn_pr1,syn_pr3
1915,1935,20,.98451,1.00269
1910,1935,25,.98220998,1.00035
1905,1935,30,.97948003,.99756998
1900,1935,35,.97302002,.99098998
1895,1935,40,.96546,.98329002
1890,1935,45,.95271999,.97031999
1885,1935,50,.93296999,.95020002
1880,1935,55,.90942001,.92622
1875,1935,60,.87155002,.88765001
1870,1935,65,.81224,.82723999
1865,1935,70,.73285002,.74638999
1860,1935,75,.61584997,.62721997
1855,1935,80,.49404001,.50317001
1850,1935,85,.34560999,.35199001
1845,1935,90,.25156999,.25622001
1840,1935,95,.15056001,.15334
1920,1940,20,.98588997,1.02811
1915,1940,25,.98641998,1.00464
1910,1940,30,.98355001,1.0017101
1905,1940,35,.97882003,.99690002
1900,1940,40,.97077,.98869997
1895,1940,45,.95876002,.97645998
1890,1940,50,.93888998,.95621997
1885,1940,55,.91295999,.92982
1880,1940,60,.87908,.89530998
1875,1940,65,.82695001,.84222001
1870,1940,70,.74361998,.75735998
1865,1940,75,.63489997,.64661998
1860,1940,80,.50265998,.51195002
1855,1940,85,.35856,.36517999
1850,1940,90,.25077,.2554
1845,1940,95,.15237001,.15518001
1925,1945,20,.98861998,1.02475
1920,1945,25,.98839003,1.03072
1915,1945,30,.98728001,1.00551
1910,1945,35,.98251998,1.0006599
1905,1945,40,.97509003,.99309999
1900,1945,45,.96323001,.98101997
1895,1945,50,.94442999,.96187001
1890,1945,55,.91904002,.93602002
1885,1945,60,.88647002,.90284002
1880,1945,65,.84162998,.85716999
1875,1945,70,.76419997,.77831
1870,1945,75,.65612,.66824001
1865,1945,80,.53834999,.54830003
1860,1945,85,.38446999,.39157
1855,1945,90,.27045,.27544001
1850,1945,95,.16214,.16513
1930,1950,20,.98922998,1.0337501
1925,1950,25,.99023002,1.02643
1920,1950,30,.98868001,1.03102
1915,1950,35,.98597997,1.00419
1910,1950,40,.97829998,.99637002
1905,1950,45,.96720999,.98506999
1900,1950,50,.94893998,.96645999
1895,1950,55,.92636001,.94345999
