Period,age,pi
1933-1934,20,.98363
1933-1934,25,.98145002
1933-1934,30,.97834003
1933-1934,35,.97235
1933-1934,40,.96552002
1933-1934,45,.95159
1933-1934,50,.93296999
1933-1934,55,.91084999
1933-1934,60,.86772001
1933-1934,65,.81619
1933-1934,70,.72369999
1933-1934,75,.6275
1933-1934,80,.49322999
1933-1934,85,.35957
1933-1934,90,.2572
1933-1934,95,.16789
1933-1934,100,.10203
1933-1934,105,.05993
1933-1934,110,0
1935-1939,20,.98534
1935-1939,25,.98306
1935-1939,30,.98032999
1935-1939,35,.97386003
1935-1939,40,.96630001
1935-1939,45,.95354998
1935-1939,50,.93378001
1935-1939,55,.91021001
1935-1939,60,.87230998
1935-1939,65,.81294
1935-1939,70,.73348999
1935-1939,75,.61637998
1935-1939,80,.49447
1935-1939,85,.34591001
1935-1939,90,.25178999
1935-1939,95,.15069
1935-1939,100,.086879998
1935-1939,105,.048730001
1935-1939,110,0
1940-1944,20,.98794001
1940-1944,25,.98724997
1940-1944,30,.98439997
1940-1944,35,.97966999
1940-1944,40,.97161001
1940-1944,45,.95959002
1940-1944,50,.93970001
1940-1944,55,.91374999
1940-1944,60,.87984002
1940-1944,65,.82766998
1940-1944,70,.74427003
1940-1944,75,.63545001
1940-1944,80,.50309998
1940-1944,85,.35887
1940-1944,90,.25099
1940-1944,95,.1525
1940-1944,100,.08715
1940-1944,105,.048420001
1940-1944,110,0
1945-1949,20,.99080998
1945-1949,25,.99045002
1945-1949,30,.98811001
1945-1949,35,.98337001
1945-1949,40,.97593999
1945-1949,45,.96407002
1945-1949,50,.94524997
1945-1949,55,.91983998
1945-1949,60,.88723999
1945-1949,65,.84236002
1945-1949,70,.76485997
1945-1949,75,.65669
1945-1949,80,.53882003
1945-1949,85,.38479999
1945-1949,90,.27068001
1945-1949,95,.16227999
1945-1949,100,.090719998
1945-1949,105,.048999999
1945-1949,110,0
1950-1954,20,.99291003
1950-1954,25,.99242997
1950-1954,30,.99074
1950-1954,35,.98681003
1950-1954,40,.97915
1950-1954,45,.96805
1950-1954,50,.94976002
1950-1954,55,.92716002
1950-1954,60,.89361
1950-1954,65,.84876001
1950-1954,70,.77837002
1950-1954,75,.67843002
1950-1954,80,.55574
1950-1954,85,.40845999
1950-1954,90,.27061999
1950-1954,95,.16603
1950-1954,100,.091059998
1950-1954,105,.04806
1950-1954,110,0
1955-1959,20,.99347001
1955-1959,25,.99340999
1955-1959,30,.99177998
1955-1959,35,.98829001
1955-1959,40,.98145998
1955-1959,45,.97082001
1955-1959,50,.95380002
1955-1959,55,.93172997
1955-1959,60,.89881998
1955-1959,65,.85216999
1955-1959,70,.78838003
1955-1959,75,.69045001
1955-1959,80,.56239003
1955-1959,85,.40900001
1955-1959,90,.27287999
1955-1959,95,.16017
1955-1959,100,.085259996
1955-1959,105,.043820001
1955-1959,110,0
1960-1964,20,.99384999
1960-1964,25,.99352002
1960-1964,30,.99191999
1960-1964,35,.98825002
1960-1964,40,.98181999
1960-1964,45,.97119999
1960-1964,50,.95462
1960-1964,55,.93436998
1960-1964,60,.89840001
1960-1964,65,.85608
1960-1964,70,.79381001
1960-1964,75,.69780999
1960-1964,80,.56687999
1960-1964,85,.41143
1960-1964,90,.27059999
1960-1964,95,.15519001
1960-1964,100,.080530003
