Period,pi,age
2010-2015,.99574388,20
2010-2015,.99507612,25
2010-2015,.9942484700000001,30
2010-2015,.99287941,35
2010-2015,.98996785,40
2010-2015,.9843003,45
2010-2015,.97556926,50
2010-2015,.96437037,55
2010-2015,.95001057,60
2010-2015,.92808484,65
2010-2015,.89125436,70
2010-2015,.83231612,75
2010-2015,.73651914,80
2010-2015,.59218844,85
2010-2015,.39430415,90
2010-2015,.22438349,95
2015-2020,.9950088499999999,20
2015-2020,.99384606,25
2015-2020,.99264263,30
2015-2020,.99123185,35
2015-2020,.9891822300000001,40
2015-2020,.98442421,45
2015-2020,.97550868,50
2015-2020,.96341504,55
2015-2020,.94817127,60
2015-2020,.92876068,65
2015-2020,.89336068,70
2015-2020,.83684719,75
2015-2020,.7434168799999999,80
2015-2020,.60169542,85
2015-2020,.43003608,90
2015-2020,.25176282,95
2020-2025,.99568552,20
2020-2025,.99367202,25
2020-2025,.9924817500000001,30
2020-2025,.99126877,35
2020-2025,.98908249,40
2020-2025,.98461031,45
2020-2025,.97661624,50
2020-2025,.96491361,55
2020-2025,.94993417,60
2020-2025,.92940077,65
2020-2025,.89625397,70
2020-2025,.84050531,75
2020-2025,.74866968,80
2020-2025,.61152836,85
2020-2025,.43773578,90
2020-2025,.25300114,95
2025-2030,.99587657,20
2025-2030,.99373597,25
2025-2030,.99256532,30
2025-2030,.99150962,35
2025-2030,.98958377,40
2025-2030,.9854607399999999,45
2025-2030,.97799189,50
2025-2030,.9669479,55
2025-2030,.95301365,60
2025-2030,.9339288,65
2025-2030,.90299763,70
2025-2030,.85008943,75
2025-2030,.76189104,80
2025-2030,.627022,85
2025-2030,.45098832,90
2025-2030,.26015718,95
2030-2035,.9961892,20
2030-2035,.99390448,25
2030-2035,.99278635,30
2030-2035,.99197426,35
2030-2035,.99040325,40
2030-2035,.98676157,45
2030-2035,.98002272,50
2030-2035,.97003102,55
2030-2035,.95776782,60
2030-2035,.94072077,65
2030-2035,.9129606,70
2030-2035,.86442,75
2030-2035,.78147809,80
2030-2035,.65104431,85
2030-2035,.47333564,90
2030-2035,.27217662,95
2035-2040,.9963978999999999,20
2035-2040,.994068,25
2035-2040,.99298734,30
2035-2040,.99231761,35
2035-2040,.99094972,40
2035-2040,.98758351,45
2035-2040,.98127619,50
2035-2040,.97191296,55
2035-2040,.96069191,60
2035-2040,.94492807,65
2035-2040,.9189903,70
2035-2040,.87309286,75
2035-2040,.7935854,80
2035-2040,.6660236,85
2035-2040,.48792705,90
2035-2040,.28047201,95
2040-2045,.99660205,20
2040-2045,.99426254,25
2040-2045,.9932216699999999,30
2040-2045,.99266805,35
2040-2045,.99147936,40
2040-2045,.98837564,45
2040-2045,.98246802,50
2040-2045,.97366994,55
2040-2045,.96333141,60
2040-2045,.9488115,65
2040-2045,.9246961,70
2040-2045,.8812134700000001,75
2040-2045,.80495682,80
2040-2045,.6804211,85
2040-2045,.50205768,90
2040-2045,.28884149,95
2045-2050,.9968010899999999,20
2045-2050,.99448261,25
2045-2050,.9934858600000001,30
2045-2050,.9930281,35
2045-2050,.99198729,40
2045-2050,.98912731,45
2045-2050,.98361422,50
2045-2050,.97534965,55
2045-2050,.9657738300000001,60
2045-2050,.95232853,65
2045-2050,.9299983000000001,70
2045-2050,.88897427,75
2045-2050,.81580939,80
2045-2050,.69430479,85
2045-2050,.51606312,90
2045-2050,.29718865,95
