Period,age,pi,Year
1935-1939,20,.9853399991989136,1935
1935-1939,25,.9830600023269653,1935
1935-1939,30,.9803299903869629,1935
1935-1939,35,.9738600254058838,1935
1935-1939,40,.9663000106811523,1935
1935-1939,45,.9535499811172485,1935
1935-1939,50,.9337800145149231,1935
1935-1939,55,.9102100133895874,1935
1935-1939,60,.8723099827766418,1935
1935-1939,65,.8129400014877319,1935
1935-1939,70,.733489990234375,1935
1935-1939,75,.616379976272583,1935
1935-1939,80,.4944700002670288,1935
1935-1939,85,.3459100127220154,1935
1935-1939,90,.2517899870872498,1935
1935-1939,95,.1506900042295456,1935
1940-1944,20,.9879400134086609,1940
1940-1944,25,.9872499704360962,1940
1940-1944,30,.9843999743461609,1940
1940-1944,35,.979669988155365,1940
1940-1944,40,.9716100096702576,1940
1940-1944,45,.9595900177955627,1940
1940-1944,50,.9397000074386597,1940
1940-1944,55,.9137499928474426,1940
1940-1944,60,.8798400163650513,1940
1940-1944,65,.8276699781417847,1940
1940-1944,70,.7442700266838074,1940
1940-1944,75,.635450005531311,1940
1940-1944,80,.5030999779701233,1940
1940-1944,85,.3588699996471405,1940
1940-1944,90,.2509900033473969,1940
1940-1944,95,.1525000035762787,1940
1945-1949,20,.9908099770545959,1945
1945-1949,25,.9904500246047974,1945
1945-1949,30,.9881100058555603,1945
1945-1949,35,.9833700060844421,1945
1945-1949,40,.9759399890899658,1945
1945-1949,45,.9640700221061707,1945
1945-1949,50,.9452499747276306,1945
1945-1949,55,.9198399782180786,1945
1945-1949,60,.8872399926185608,1945
1945-1949,65,.8423600196838379,1945
1945-1949,70,.7648599743843079,1945
1945-1949,75,.6566900014877319,1945
1945-1949,80,.5388200283050537,1945
1945-1949,85,.384799987077713,1945
1945-1949,90,.2706800103187561,1945
1945-1949,95,.1622799932956696,1945
1950-1954,20,.9929100275039673,1950
1950-1954,25,.9924299716949463,1950
1950-1954,30,.9907400012016296,1950
1950-1954,35,.986810028553009,1950
1950-1954,40,.9791499972343445,1950
1950-1954,45,.9680500030517578,1950
1950-1954,50,.9497600197792053,1950
1950-1954,55,.9271600246429443,1950
1950-1954,60,.8936100006103516,1950
1950-1954,65,.8487600088119507,1950
1950-1954,70,.7783700227737427,1950
1950-1954,75,.6784300208091736,1950
1950-1954,80,.5557399988174438,1950
1950-1954,85,.4084599912166595,1950
1950-1954,90,.2706199884414673,1950
1950-1954,95,.1660300046205521,1950
1955-1959,20,.9934700131416321,1955
1955-1959,25,.9934099912643433,1955
1955-1959,30,.9917799830436707,1955
1955-1959,35,.988290011882782,1955
1955-1959,40,.9814599752426147,1955
1955-1959,45,.9708200097084045,1955
1955-1959,50,.9538000226020813,1955
