year,delta
1950,.0323368050158024
1951,.0322506353259087
1952,.0322582498192787
1953,.0323263220489025
1954,.0323398746550083
1955,.0322658345103264
1956,.032241452485323
1957,.0322724618017673
1958,.0322434827685356
1959,.0321236103773117
1960,.0320191420614719
1961,.0319238305091858
1962,.0318631418049335
1963,.0318372473120689
1964,.0318402536213398
1965,.0319963544607162
1966,.0323719009757042
1967,.0327875167131424
1968,.0331229008734226
1969,.0333988517522812
1970,.0335237048566341
1971,.0334375351667404
1972,.0332866497337818
1973,.0332978032529354
1974,.0334600359201431
1975,.0335526280105114
1976,.0335558280348778
1977,.0335925929248333
1978,.0337083749473095
1979,.0339089781045914
1980,.0340705290436745
1981,.0341706052422523
1982,.0342371128499508
1983,.0342274643480778
1984,.0342746712267399
1985,.0344124548137188
1986,.0345000140368938
1987,.0345006473362446
1988,.0345120280981064
1989,.0345949418842793
1990,.0347088649868965
1991,.0348261445760727
1992,.0349285751581192
1993,.0350464358925819
1994,.0352170951664448
1995,.0354501307010651
1996,.035733625292778
1997,.0360819138586521
1998,.0365308560431004
1999,.0371038168668747
2000,.0377319008111954
2001,.0381936319172382
2002,.0384052507579327
2003,.0384788475930691
2004,.03855911642313
2005,.0387416929006577
2006,.0390764996409416
2007,.0395616665482521
2008,.0400752238929272
2009,.0403736867010593
2010,.0406670309603214
2011,.0412152037024498
2012,.0418709591031075
2013,.0425019450485706
2014,.0430784448981285
2015,.043633583933115
2016,.0441436022520065
2017,.0446365922689438
2018,.0452413186430931
2019,.0459649935364723
