year,irr
1950,.082167737185955
1951,.0827117934823036
1952,.078745573759079
1953,.0807872042059898
1954,.0798796415328979
1955,.0873727723956108
1956,.0772725120186806
1957,.0761690214276314
1958,.0758275836706161
1959,.0826124995946884
1960,.0804843455553055
1961,.0817735567688942
1962,.0868309140205383
1963,.0893204584717751
1964,.0927280262112617
1965,.0965073257684708
1966,.0969230681657791
1967,.0917248576879501
1968,.090611033141613
1969,.084552988409996
1970,.0787854120135307
1971,.0805657431483269
1972,.0789715573191643
1973,.077947624027729
1974,.0696001127362251
1975,.0687982216477394
1976,.0721491426229477
1977,.0711678043007851
1978,.0700540244579315
1979,.0671352371573448
1980,.061801265925169
1981,.0642150864005089
1982,.0596026517450809
1983,.0689264610409737
1984,.0760874897241592
1985,.0786160454154015
1986,.0768997371196747
1987,.0752587914466858
1988,.0758904367685318
1989,.0808688551187515
1990,.0803462788462639
1991,.0796072110533714
1992,.0813898965716362
1993,.0836307853460312
1994,.0867989808320999
1995,.0853153839707375
1996,.0862864628434181
1997,.0862875953316689
1998,.081514485180378
1999,.0800582394003868
2000,.075181819498539
2001,.0707343965768814
2002,.0731808394193649
2003,.0755426660180092
2004,.0757879093289375
2005,.0762168690562248
2006,.0731202587485313
2007,.0722028240561485
2008,.0699608400464058
2009,.0717699825763702
2010,.0762748271226883
2011,.0753283426165581
2012,.0749734118580818
2013,.0751190707087517
2014,.0735446363687515
2015,.0739095509052277
2016,.0743722021579742
2017,.0735481083393097
2018,.0744583010673523
2019,.0728457197546959
