dataset,year,variable,label,name
PSID Main Family Data,1968,V47,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1969,V465,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1970,V1138,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1971,V1839,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1972,V2439,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1973,V3027,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1974,V3423,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1975,V3823,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1976,V4332,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1977,V5232,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1978,V5731,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1979,V6336,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1980,V6934,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1981,V7530,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1982,V8228,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1983,V8830,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1984,V10037,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1985,V11146,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1986,V12545,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1987,V13745,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1988,V14835,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1989,V16335,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1990,V17744,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1991,V19044,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1992,V20344,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1993,V21634,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1994,ER4096,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1995,ER6936,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1996,ER9187,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1997,ER12174,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,1999,ER16471,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2001,ER20399,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2003,ER24080,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2005,ER27886,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2007,ER40876,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2009,ER46767,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2011,ER52175,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2013,ER57976,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2015,ER65156,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2017,ER71233,HD ANN HRS WORKED LAST YR,hours
PSID Main Family Data,2019,ER77255,HD ANN HRS WORKED LAST YR,hours
PSID Family-level,1968,V93,PSID STATE NOW,state
PSID Family-level,1969,V537,PSID STATE NOW,state
PSID Family-level,1970,V1103,PSID STATE NOW,state
PSID Family-level,1971,V1803,PSID STATE NOW,state
PSID Family-level,1972,V2403,PSID STATE NOW,state
PSID Family-level,1973,V3003,PSID STATE NOW,state
PSID Family-level,1974,V3403,PSID STATE NOW,state
PSID Family-level,1975,V3803,PSID STATE NOW,state
PSID Family-level,1976,V4303,PSID STATE NOW,state
PSID Family-level,1977,V5203,PSID STATE NOW,state
PSID Family-level,1978,V5703,PSID STATE NOW,state
PSID Family-level,1979,V6303,PSID STATE NOW,state
PSID Family-level,1980,V6903,PSID STATE NOW,state
PSID Family-level,1981,V7503,PSID STATE NOW,state
PSID Family-level,1982,V8203,PSID STATE NOW,state
PSID Family-level,1983,V8803,PSID STATE NOW,state
PSID Family-level,1984,V10003,PSID STATE NOW,state
PSID Family-level,1985,V11103,PSID STATE NOW,state
PSID Family-level,1986,V12503,PSID STATE NOW,state
PSID Family-level,1987,V13703,PSID STATE NOW,state
PSID Family-level,1988,V14803,PSID STATE NOW,state
PSID Family-level,1989,V16303,PSID STATE NOW,state
PSID Family-level,1990,V17703,PSID STATE NOW,state
PSID Family-level,1991,V19003,PSID STATE NOW,state
PSID Family-level,1992,V20303,PSID STATE NOW,state
PSID Family-level,1993,V21603,PSID STATE NOW,state
PSID Family-level,1994,ER4156,PSID STATE NOW,state
PSID Family-level,1995,ER6996,PSID STATE NOW,state
PSID Family-level,1996,ER9247,PSID STATE NOW,state
PSID Family-level,1997,ER12221,PSID STATE NOW,state
PSID Family-level,1999,ER13004,PSID STATE NOW,state
PSID Family-level,2001,ER17004,PSID STATE NOW,state
PSID Family-level,2003,ER21003,PSID STATE NOW,state
PSID Family-level,2005,ER25003,PSID STATE NOW,state
PSID Family-level,2007,ER36003,PSID STATE NOW,state
PSID Family-level,2009,ER42003,PSID STATE NOW,state
PSID Family-level,2011,ER47303,PSID STATE NOW,state
PSID Family-level,2013,ER53003,PSID STATE NOW,state
PSID Family-level,2015,ER60003,PSID STATE NOW,state
PSID Family-level,2017,ER66003,PSID STATE NOW,state
PSID Family-level,2019,ER72003,PSID STATE NOW,state
PSID Family-level,1968,V81,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1969,V529,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1970,V1514,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1971,V2226,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1972,V2852,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1973,V3256,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1974,V3676,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1975,V4154,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1976,V5029,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1977,V5626,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1978,V6173,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1979,V6766,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1980,V7412,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1981,V8065,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1982,V8689,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1983,V9375,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1984,V11022,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1985,V12371,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1986,V13623,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1987,V14670,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1988,V16144,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1989,V17533,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1990,V18875,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1991,V20175,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1992,V21481,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1993,V23322,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1994,ER4153,TOTAL FAMILY INCOME LAST YEAR,faminc
