dataset,year,variable,label,name
PSID Individual Data by Years,1968,ER30019,INDIVIDUAL WEIGHT 68,weight
PSID Individual Data by Years,1969,ER30042,INDIVIDUAL WEIGHT 69,weight
PSID Individual Data by Years,1970,ER30066,INDIVIDUAL WEIGHT 70,weight
PSID Individual Data by Years,1971,ER30090,INDIVIDUAL WEIGHT 71,weight
PSID Individual Data by Years,1972,ER30116,INDIVIDUAL WEIGHT 72,weight
PSID Individual Data by Years,1973,ER30137,INDIVIDUAL WEIGHT 73,weight
PSID Individual Data by Years,1974,ER30159,INDIVIDUAL WEIGHT 74,weight
PSID Individual Data by Years,1975,ER30187,INDIVIDUAL WEIGHT 75,weight
PSID Individual Data by Years,1976,ER30216,INDIVIDUAL WEIGHT 76,weight
PSID Individual Data by Years,1977,ER30245,INDIVIDUAL WEIGHT 77,weight
PSID Individual Data by Years,1978,ER30282,INDIVIDUAL WEIGHT 78,weight
PSID Individual Data by Years,1979,ER30312,INDIVIDUAL WEIGHT 79,weight
PSID Individual Data by Years,1980,ER30342,INDIVIDUAL WEIGHT 80,weight
PSID Individual Data by Years,1981,ER30372,INDIVIDUAL WEIGHT 81,weight
PSID Individual Data by Years,1982,ER30398,INDIVIDUAL WEIGHT 82,weight
PSID Individual Data by Years,1983,ER30428,INDIVIDUAL WEIGHT 83,weight
PSID Individual Data by Years,1984,ER30462,INDIVIDUAL WEIGHT 84,weight
PSID Individual Data by Years,1985,ER30497,INDIVIDUAL WEIGHT 85,weight
PSID Individual Data by Years,1986,ER30534,INDIVIDUAL WEIGHT 86,weight
PSID Individual Data by Years,1987,ER30569,INDIVIDUAL WEIGHT 87,weight
PSID Individual Data by Years,1988,ER30605,INDIVIDUAL WEIGHT 88,weight
PSID Individual Data by Years,1989,ER30641,INDIVIDUAL WEIGHT 89,weight
PSID Individual Data by Years,1990,ER30686,CORE IND WEIGHT 90,weight
PSID Individual Data by Years,1991,ER30730,CORE IND WEIGHT 91,weight
PSID Individual Data by Years,1992,ER30803,CORE IND WEIGHT 92,weight
PSID Individual Data by Years,1993,ER30864,CORE INDIVIDUAL LONGITUDINAL WEIGHT 93,weight
