age,ageff_LE,ageff_HE
20.0,0.0,0.0
21.0,0.020972276,0.0668318
22.0,0.071129024,0.19105625
23.0,0.122643284,0.26829866
24.0,0.18343192,0.3608259
25.0,0.22828922,0.4229065
26.0,0.23460735,0.4815142
27.0,0.2563356,0.53397727
28.0,0.2688725,0.6075183
29.0,0.27771884,0.6473883
30.0,0.3172403,0.6928554
31.0,0.321115,0.731279
32.0,0.34549862,0.7549042
33.0,0.36434937,0.78313017
34.0,0.36819574,0.8128965
35.0,0.3801259,0.8488979
36.0,0.35393712,0.8727933
37.0,0.38609,0.9001134
38.0,0.36469632,0.9038047
39.0,0.39691845,0.92013806
40.0,0.3889661,0.9258951
41.0,0.4136768,0.93357456
42.0,0.39612004,0.9250848
43.0,0.42218956,0.9424444
44.0,0.3871057,0.93138814
45.0,0.40238273,0.9487654
46.0,0.38495833,0.94628733
47.0,0.41226074,0.9664345
48.0,0.40193257,0.962731
49.0,0.419403,0.9671285
50.0,0.43210083,0.935839
51.0,0.42038342,0.9788874
52.0,0.42120418,0.9706473
53.0,0.44141194,0.9496788
54.0,0.44274226,0.9461672
55.0,0.41780546,0.94122887
56.0,0.42434135,0.9716855
57.0,0.40984952,0.94814146
58.0,0.44949096,0.9616712
59.0,0.3859858,0.908077
60.0,0.4372277,0.9441179
61.0,0.33935386,0.89281934
62.0,0.3966973,0.88395596
63.0,0.26997867,0.8507878
64.0,0.28804672,0.8528023
65.0,0.26395264,0.78388304
