age,ageff_LE,ageff_HE
20.0,0.0,0.0
21.0,0.020139929,0.07272354
22.0,0.06896064,0.19417524
23.0,0.121019,0.272672
24.0,0.18024282,0.36356133
25.0,0.22220707,0.4294992
26.0,0.23528303,0.4848281
27.0,0.2508405,0.5368462
28.0,0.26593417,0.61180854
29.0,0.27150518,0.65173566
30.0,0.3118258,0.6965319
31.0,0.30693954,0.73446256
32.0,0.33801132,0.7565333
33.0,0.3519076,0.78488046
34.0,0.352178,0.80784136
35.0,0.36961523,0.8499756
36.0,0.33753365,0.86524796
37.0,0.37455478,0.89099044
38.0,0.34530935,0.89970225
39.0,0.3803368,0.91489726
40.0,0.3816663,0.9179395
41.0,0.40076187,0.9244318
42.0,0.37838125,0.9243536
43.0,0.40721062,0.9350545
44.0,0.38075957,0.92653245
45.0,0.39275134,0.93609333
46.0,0.37471288,0.94486845
47.0,0.39903468,0.9595239
48.0,0.38785782,0.95640725
49.0,0.4053678,0.95295614
50.0,0.42187402,0.92660326
51.0,0.4090816,0.97407746
52.0,0.4069517,0.96416265
53.0,0.4219025,0.95109504
54.0,0.4379124,0.9344385
55.0,0.39692855,0.95513034
56.0,0.41270608,0.96342593
57.0,0.38982376,0.9548669
58.0,0.42828584,0.9482408
59.0,0.3704348,0.8895258
60.0,0.41608274,0.91344523
61.0,0.31979156,0.8925452
62.0,0.3643934,0.85184795
63.0,0.25409448,0.8194794
64.0,0.24988718,0.8136196
65.0,0.2379257,0.7272082
