year,labsh
1950,.6283628940582275
1951,.6337317824363708
1952,.6448515653610229
1953,.6444960236549377
1954,.6370519995689392
1955,.626844048500061
1956,.6404278874397278
1957,.6386847496032715
1958,.635847270488739
1959,.6293543577194214
1960,.6367416977882385
1961,.6337034106254578
1962,.6291072964668274
1963,.6263846755027771
1964,.6243788003921509
1965,.6193597912788391
1966,.6228949427604675
1967,.630079448223114
1968,.634225606918335
1969,.6438753008842468
1970,.6489855647087097
1971,.63764888048172
1972,.6394450664520264
1973,.6406667232513428
1974,.6409685611724854
1975,.6255608201026917
1976,.6215898990631104
1977,.6215961575508118
1978,.6222950220108032
1979,.62261962890625
1980,.6243488788604736
1981,.6142160296440125
1982,.6167433261871338
1983,.6038522720336914
1984,.6019517779350281
1985,.6023015379905701
1986,.6077370047569275
1987,.6159725785255432
1988,.6206663846969604
1989,.6118586659431458
1990,.6151978969573975
1991,.6150988340377808
1992,.620048463344574
1993,.6141963005065918
1994,.6079543828964233
1995,.6073774099349976
1996,.607116162776947
1997,.609609842300415
1998,.6230132579803467
1999,.6259886622428894
2000,.6370731592178345
2001,.6403365731239319
2002,.6296166777610779
2003,.6214457154273987
2004,.6171151399612427
2005,.6056353449821472
2006,.6055108904838562
2007,.6040037274360657
2008,.6040886044502258
2009,.59113609790802
2010,.5879995822906494
2011,.5926562547683716
2012,.595092236995697
2013,.5930569767951965
2014,.5942705869674683
2015,.5956462621688843
2016,.5937725305557251
2017,.5961511135101318
2018,.5943259596824646
2019,.5970911383628845
