college_share,year,data,ncollege_share,college_share_model,cohort
.04697137,1935,0,.95302862,.04697137,1910
.045660116,1940,1,.95433986,.045660116,1915
.048640829,1945,0,.95135915,.048640829,1920
.060667492,1950,1,.93933249,.060667492,1925
.082731463,1955,0,.91726851,.082731463,1930
.11070506,1960,1,.88929492,.082731463,1935
.13912612,1965,0,.86087388,.082731463,1940
.16383532,1970,1,.83616471,.082731463,1945
.18312272,1975,0,.81687725,.082731463,1950
.19775014,1980,1,.80224985,.082731463,1955
.21009697,1985,0,.78990304,.082731463,1960
.22294506,1990,1,.77705491,.082731463,1965
.23769443,1995,0,.76230556,.082731463,1970
.25469396,2000,1,.74530602,.082731463,1975
.27542722,2005,0,.72457278,.082731463,1980
.30107746,2010,0,.69892251,.082731463,1985
.32963991,2015,0,.67036009,.082731463,1990
.35659847,2020,0,.6434015,.082731463,1995
.37731078,2025,0,.62268925,.082731463,2000
.39084536,2030,0,.60915464,.082731463,2005
.39910221,2035,0,.60089779,.082731463,2010
.40439856,2040,0,.59560144,.082731463,2015
.40841031,2045,0,.59158969,.082731463,2020
.41203573,2050,0,.5879643,.082731463,2025
.41561845,2055,0,.58438158,.082731463,2030
.41921267,2060,0,.5807873,.082731463,2035
.42276883,2065,0,.57723117,.082731463,2040
.42622936,2070,0,.57377064,.082731463,2045
.42956147,2075,0,.5704385,.082731463,2050
.43276006,2080,0,.56723994,.082731463,2055
.43584117,2085,0,.5641588,.082731463,2060
.43883616,2090,0,.56116384,.082731463,2065
.44178584,2095,0,.55821419,.082731463,2070
.44355026,2100,0,.55644977,.082731463,2075
