cohort,college_share,year,data,ncollege_share,college_share_model
1840,.046971399,1865,0,.95302862,
1845,.046971399,1870,0,.95302862,
1850,.046971399,1875,0,.95302862,
1855,.046971399,1880,0,.95302862,
1860,.046971399,1885,0,.95302862,
1865,.046971399,1890,0,.95302862,
1870,.046971399,1895,0,.95302862,
1875,.046971399,1900,0,.95302862,
1880,.046971399,1905,0,.95302862,
1885,.046971399,1910,0,.95302862,
1890,.046971399,1915,0,.95302862,
1895,.046971399,1920,0,.95302862,
1900,.046971399,1925,0,.95302862,
1905,.046971399,1930,0,.95302862,
1910,.04697137,1935,0,.95302862,.04697137
1915,.045660116,1940,1,.95433986,.045660116
1920,.048640829,1945,0,.95135915,.048640829
1925,.060667492,1950,1,.93933249,.060667492
1930,.082731463,1955,0,.91726851,.082731463
1935,.11070506,1960,1,.88929492,.082731463
1940,.13912612,1965,0,.86087388,.082731463
1945,.16383532,1970,1,.83616471,.082731463
1950,.18312272,1975,0,.81687725,.082731463
1955,.19775014,1980,1,.80224985,.082731463
1960,.21009697,1985,0,.78990304,.082731463
1965,.22294506,1990,1,.77705491,.082731463
1970,.23769443,1995,0,.76230556,.082731463
1975,.25469396,2000,1,.74530602,.082731463
1980,.27542722,2005,0,.72457278,.082731463
1985,.30107746,2010,0,.69892251,.082731463
1990,.32963991,2015,0,.67036009,.082731463
1995,.35659847,2020,0,.6434015,.082731463
2000,.37731078,2025,0,.62268925,.082731463
2005,.39084536,2030,0,.60915464,.082731463
2010,.39910221,2035,0,.60089779,.082731463
2015,.40439856,2040,0,.59560144,.082731463
2020,.40841031,2045,0,.59158969,.082731463
2025,.41203573,2050,0,.5879643,.082731463
2030,.41561845,2055,0,.58438158,.082731463
2035,.41921267,2060,0,.5807873,.082731463
2040,.42276883,2065,0,.57723117,.082731463
2045,.42622936,2070,0,.57377064,.082731463
2050,.42956147,2075,0,.5704385,.082731463
2055,.43276006,2080,0,.56723994,.082731463
2060,.43584117,2085,0,.5641588,.082731463
2065,.43883616,2090,0,.56116384,.082731463
2070,.44178584,2095,0,.55821419,.082731463
2075,.44355026,2100,0,.55644977,.082731463
