year,wprem2,cgphs,hs128,hswtd,wrclprod_raw,wrclprod_adj1,lwrclprod_adj1,wrcllab_adj,wrclprod,wrclprod_adj2,_merge,lwrclpr
1825,,,,,1.89,1.4055098,.3404001,1.89,1.4052117,1.4052876,2,.340242
1835,,,,,1.95,1.4501292,.37165263,1.9499999,1.4586077,1.4564512,2,.37600279
1845,,,,,2.0899999,1.5542411,.44098735,2.0899999,1.6622397,1.6334889,2,.49071816
1855,,,,,2.0899999,1.5542411,.44098735,2.0899999,1.6443292,1.6205367,2,.48275739
1865,,,,,1.87,1.3906367,.32976168,1.87,1.526942,1.4899502,2,.39874268
1875,,,,,2.24,1.6657895,.51029921,2.24,1.66579,1.66579,2,.51029944
1890,,,,,,1.6657888,.51029873,2.2399991,1.66579,1.66579,2,.51029944
1895,,,,,1.691,1.7451119,.55681872,2.3466656,1.74511,1.74511,2,.55681759
1909,,,,,1.652,1.704864,.53348535,2.2925439,1.70486,1.70486,2,.53348297
1914,.62800002,,,,1.6956,1.7498592,.55953532,2.3530493,1.74986,1.74986,3,.5595358
1915,,.63800001,.44,.30000001,,,,,,,1,
1919,,,,,1.202,1.240464,.21548548,1.6680615,1.24046,1.24046,2,.21548231
1923,,,,,1.099,1.134168,.12589937,1.5251245,1.1341701,1.1341701,2,.12590115
1924,,,,,1.097,1.132104,.12407789,1.5223491,1.1321,1.1321,2,.1240743
1925,,,,,1.101,1.136232,.12771754,1.5279,1.13623,1.13623,2,.12771575
1926,,,,,1.113,1.148616,.1385577,1.5445528,1.14862,1.14862,2,.13856123
1927,,,,,1.131,1.167192,.15460084,1.5695322,1.16719,1.16719,2,.15459912
1928,,,,,1.117,1.1527441,.14214523,1.5501039,1.15274,1.15274,2,.14214171
1929,,,,,1.128,1.164096,.15194482,1.5653689,1.1641001,1.1641001,2,.1519483
1939,.48800001,,,,1.15,1.1868,.17126061,1.5958992,1.1868,1.1868,3,.17126061
1940,,.498,.34599999,.242,,,,,,,1,
1949,.303,,,,1.076,1.076,.073250435,1.4469055,1.076,1.076,3,.073250435
1950,,.31299999,.214,.149,,,,,,,1,
1959,.38600001,,,,1.0190001,1.0190001,.018821808,1.3702573,1.0190001,1.0190001,3,.018821808
1960,,.396,.229,.15899999,,,,,,,1,
1963,.39623979,,,,,,,,,,1,
1964,.40927461,,,,,,,,,,1,
1965,.42531011,,,,,,,,,,1,
1966,.4210076,,,,,,,,,,1,
1967,.45491549,,,,,,,,,,1,
1968,.46221209,,,,,,,,,,1,
1969,.45550159,,,,,,,,,,1,
1970,.44925931,.465,.23,.167,,,,,,,1,
1971,.4743605,,,,,,,,,,1,
1972,.4603543,,,,,,,,,,1,
1973,.4581604,,,,,,,,,,1,
1974,.44149399,,,,,,,,,,1,
1975,.4276686,,,,,,,,,,1,
1976,.42538789,,,,,,,,,,1,
1977,.40903661,,,,,,,,,,1,
1978,.39563179,,,,,,,,,,1,
1979,.40002391,,,,,,,,,,1,
1980,.40211821,.391,.229,.17900001,,,,,,,1,
1981,.39803499,,,,,,,,,,1,
1982,.4255695,,,,,,,,,,1,
1983,.45452169,,,,,,,,,,1,
1984,.46685791,,,,,,,,,,1,
1985,.484292,,,,,,,,,,1,
1986,.4983249,,,,,,,,,,1,
1987,.500103,,,,,,,,,,1,
1988,.5124917,,,,,,,,,,1,
1989,.53913742,,,,,,,,,,1,
1990,.53357983,.54299998,.273,.21600001,,,,,,,1,
1991,.56080288,,,,,,,,,,1,
1992,.56250858,,,,,,,,,,1,
1993,.58736521,,,,,,,,,,1,
1994,.58700699,,,,,,,,,,1,
1995,.5940485,,,,,,,,,,1,
1996,.58705658,,,,,,,,,,1,
1997,.5908041,,,,,,,,,,1,
1998,.61145729,,,,,,,,,,1,
1999,.63822788,,,,,,,,,,1,
2000,.63577843,.60100001,.29800001,.25799999,,,,,,,1,
2001,.64877838,,,,,,,,,,1,
2002,.64893478,,,,,,,,,,1,
2003,.63066578,,,,,,,,,,1,
2004,.64342451,,,,,,,,,,1,
2005,.66158098,.61799997,.28999999,.259,,,,,,,1,
2006,.65986192,,,,,,,,,,1,
2007,.65748584,,,,,,,,,,1,
2008,.67600858,,,,,,,,,,1,
2009,.66810644,,,,,,,,,,1,
2010,.67501438,,,,,,,,,,1,
2011,.68303668,,,,,,,,,,1,
2012,.67364299,,,,,,,,,,1,
