year,wprem2_17,pred2
1914,.62800002,.60997319
1939,.48800001,.46775511
1949,.303,.42461061
1959,.38600001,.3467378
1963,.39623979,.40107569
1964,.40927461,.39713618
1965,.42531011,.42041412
1966,.4210076,.42757362
1967,.45491549,.42737973
1968,.46221209,.45031983
1969,.45550159,.45224196
1970,.44925931,.44150269
1971,.4743605,.44924796
1972,.4603543,.44700086
1973,.4581604,.4409816
1974,.44149399,.42854553
1975,.4276686,.40699425
1976,.42538789,.41388574
1977,.40903661,.42564061
1978,.39563179,.42798814
1979,.40002391,.4384332
1980,.40211821,.44609064
1981,.39803499,.44535199
1982,.4255695,.41318253
1983,.45452169,.42872408
1984,.46685791,.45329288
1985,.484292,.47532547
1986,.4983249,.48844019
1987,.500103,.51266271
1988,.5124917,.51491988
1989,.53913742,.54202837
1990,.53357983,.56262797
1991,.56080288,.57404488
1992,.56250858,.56955838
1993,.58736521,.57250673
1994,.58700699,.57015866
1995,.5940485,.59296435
1996,.58705658,.60763073
1997,.5908041,.61033839
1998,.61145729,.611296
1999,.63822788,.61435115
2000,.63577843,.6254698
2001,.64877838,.62214768
2002,.64893478,.62410796
2003,.63066578,.63350058
2004,.64342451,.65837377
2005,.66158098,.66436821
2006,.66246408,.66376972
2007,.65882581,.65656632
2008,.67446893,.66100699
2009,.66801351,.65866911
2010,.67461628,.64655006
2011,.68232149,.65781081
2012,.67314571,.66023684
2013,.66742271,.67514777
2014,.67356008,.68853527
2015,.67072576,.68782657
2016,.67206091,.69590914
2017,.67411417,.69511914
