year,expcat,clphsg_all,clghsg_all,clphsg_exp,clghsg_exp,POCL_all,POCL_exp,clphsg_all_m,clghsg_all_m,clphsg_exp_m,clghsg_exp_m,POCL_all_m,POCL_exp_m,clphsg_all_f,clghsg_all_f,clphsg_exp_f,clghsg_exp_f,POCL_all_f,POCL_exp_f
1963,1,.36622,.33422518,.36222744,.34241199,.10074949,.080970764,.31205559,.30157185,.38071012,.37845325,.031363964,.0086483955,.41550446,.36910725,.35852766,.3283596,.1571312,.13326406
1963,2,.36622,.33422518,.37205696,.34716845,.10074949,.072818756,.31205559,.30157185,.3310461,.32798481,.031363964,.0086483955,.41550446,.36910725,.42605782,.38283634,.1571312,.13326406
1963,3,.36622,.33422518,.4011755,.37523413,.10074949,.071754456,.31205559,.30157185,.2775712,.27432823,.031363964,.0086483955,.41550446,.36910725,.51260376,.46694374,.1571312,.13326406
1963,4,.36622,.33422518,.37058926,.34364462,.10074949,.072806358,.31205559,.30157185,.23978424,.23643398,.031363964,.0086483955,.41550446,.36910725,.46709633,.42123365,.1571312,.13326406
1963,5,.36622,.33422518,.35878563,.34453201,.10074949,.077064514,.31205559,.30157185,.3487587,.34706831,.031363964,.0086483955,.41550446,.36910725,.24264431,.2203455,.1571312,.13326406
1964,1,.3798542,.34236908,.38783741,.36337852,.11803913,.099944592,.30545187,.30532122,.32638931,.33336878,.00038957596,-.026746273,.45552683,.38262177,.47467041,.42096519,.24690628,.23723364
1964,2,.3798542,.34236908,.37174892,.3393507,.11803913,.094792366,.30545187,.30532122,.35271311,.36218071,.00038957596,-.02674675,.45552683,.38262177,.39431667,.31737566,.24690628,.23723364
1964,3,.3798542,.34236908,.41950226,.38448334,.11803913,.096863747,.30545187,.30532122,.34974861,.35977697,.00038957596,-.02674675,.45552683,.38262177,.45633221,.37504959,.24690628,.23723412
1964,4,.3798542,.34236908,.37831163,.34710598,.11803913,.084319115,.30545187,.30532122,.17298269,.18334627,.00038957596,-.02674675,.45552683,.38262177,.58280754,.50116301,.24690628,.23723412
1964,5,.3798542,.34236908,.23978329,.22048521,.11803913,.10434151,.30545187,.30532122,.27423811,.27946663,.00038957596,-.02674675,.45552683,.38262177,.0026378632,-.03705883,.24690628,.23723364
1965,1,.41835213,.3643713,.3957572,.36078978,.16998386,.14288568,.35903835,.32007599,.34440327,.32166672,.11655903,.087124825,.47328949,.41359472,.47397947,.43224144,.2021656,.18437099
1965,2,.41835213,.3643713,.39811945,.34956264,.16998386,.14206886,.35903835,.32007599,.36387157,.33303308,.11655903,.087124825,.47328949,.41359472,.44208288,.38228655,.2021656,.18437099
1965,3,.41835213,.3643713,.46302795,.41146231,.16998386,.14263344,.35903835,.32007599,.38012123,.34745264,.11655903,.087125301,.47328949,.41359472,.51649332,.45332289,.2021656,.18437099
1965,4,.41835213,.3643713,.47590542,.4240737,.16998386,.14005184,.35903835,.32007599,.32994509,.2961874,.11655903,.087125301,.47328949,.41359472,.59102345,.52757215,.2021656,.18437147
1965,5,.41835213,.3643713,.33539057,.30528355,.16998386,.16278124,.35903835,.32007599,.50781822,.49078846,.11655903,.087124825,.47328949,.41359472,-.063728809,-.094579697,.2021656,.18437052
1966,1,.41225863,.36167049,.4003644,.36628246,.15929937,.13926601,.35710335,.33404541,.37768269,.36681509,.068978786,.041642189,.4606595,.38961172,.44538689,.39376783,.24061584,.22801876
1966,2,.41225863,.36167049,.39639807,.35106373,.15929937,.13264179,.35710335,.33404541,.35927582,.3445363,.068978786,.041642189,.4606595,.38961172,.44433212,.37037945,.24061584,.22801828
1966,3,.41225863,.36167049,.43897724,.39042091,.15929937,.13430977,.35710335,.33404541,.35608244,.34046793,.068978786,.041642189,.4606595,.38961172,.48972321,.41159821,.24061584,.22801876
1966,4,.41225863,.36167049,.4528532,.40361166,.15929937,.13305283,.35710335,.33404541,.3319087,.31577492,.068978786,.041641712,.4606595,.38961172,.52734756,.44887543,.24061584,.22801828
1966,5,.41225863,.36167049,.30936575,.28316212,.15929937,.14167643,.35710335,.33404541,.34781456,.33967495,.068978786,.041641712,.4606595,.38961172,.088692665,.050538063,.24061584,.22801876
1967,1,.44136524,.38013744,.39901638,.35840893,.19280338,.16593266,.39918995,.3582449,.38767004,.3650198,.12248945,.086792946,.4732666,.40107536,.43204308,.38050079,.24448633,.22768116
1967,2,.44136524,.38013744,.43869877,.38435698,.19280338,.15899754,.39918995,.3582449,.40550375,.37478256,.12248945,.086792469,.4732666,.40107536,.4812355,.40739202,.24448633,.22768211
1967,3,.44136524,.38013744,.50868893,.45026875,.19280338,.16159487,.39918995,.3582449,.44636536,.41382122,.12248945,.086792946,.4732666,.40107536,.5334096,.45539999,.24448633,.22768116
1967,4,.44136524,.38013744,.47701597,.41658211,.19280338,.16329479,.39918995,.3582449,.39555264,.36192417,.12248945,.086792946,.4732666,.40107536,.49760437,.41924763,.24448633,.22768164
1967,5,.44136524,.38013744,.16272068,.13702869,.19280338,.13891411,.39918995,.3582449,-.048129559,-.065094471,.12248945,.086792469,.4732666,.40107536,.37475491,.33665705,.24448633,.22768116
