year,relsup,wprem2
1914,-2.1059999,.62800002
1939,-1.4630001,.48800001
1949,-1.228,.303
1959,-.93690002,.38600001
1963,-.85451692,.39623979
1964,-.80561292,.40927461
1965,-.80067599,.42531011
1966,-.7697013,.4210076
1967,-.72684801,.45491549
1968,-.72136527,.46221209
1969,-.68193018,.45550159
1970,-.62204188,.44925931
1971,-.59201348,.4743605
1972,-.54584342,.4603543
1973,-.4935798,.4581604
1974,-.43095049,.44149399
1975,-.35359651,.4276686
1976,-.32218891,.42538789
1977,-.2986376,.40903661
1978,-.25988969,.39563179
1979,-.2342225,.40002391
1980,-.20405219,.40211821
1981,-.1603189,.39803499
1982,-.065812297,.4255695
1983,-.048377998,.45452169
1984,-.0455263,.46685791
1985,-.038577601,.484292
1986,-.017223001,.4983249
1987,-.0138119,.500103
1988,.025082,.5124917
1989,.023831099,.53913742
1990,.0330946,.53357983
1991,.057191901,.56080288
1992,.1069795,.56250858
1993,.1290653,.58736521
1994,.15970691,.58700699
1995,.1497153,.5940485
1996,.1528718,.58705658
1997,.17534649,.5908041
1998,.2006481,.61145729
1999,.2225614,.63822788
2000,.23144899,.63577843
2001,.2636641,.64877838
2002,.28734609,.64893478
2003,.29902181,.63066578
2004,.28569031,.64342451
2005,.30285549,.66158098
