year,relsup,wprem2,clphsg_all,eu_lnclg,_merge,time,t49,t59,t92,tsq,t3,t4,t5,d49,pred2,pred3,relsup49,demand2
1914,-2.1059999,.62800002,,,1,0,0,0,0,0,0,0,0,0,.60997319,.63010252,0,-1.0886399
1939,-1.4630001,.48800001,,,1,25,0,0,0,62.5,156.25,390.625,976.5625,0,.46775511,.48326942,0,-.67244005
1949,-1.228,.303,,,1,35,0,0,0,122.5,428.75,1500.625,5252.1875,1,.42461061,.303,0,-.73714006
1959,-.93690002,.38600001,,,1,45,10,0,0,202.5,911.25,4100.625,18452.813,0,.3467378,.35831755,-.93690002,-.31158
1963,-.85451692,.39623979,.36622,-.93920821,3,49,14,4,0,240.10001,1176.49,5764.8008,28247.523,0,.40107569,.41181293,-.85451692,-.21260847
1964,-.80561292,.40927461,.3798542,-.89312935,3,50,15,5,0,250,1250,6250,31250,0,.39713618,.40707594,-.80561292,-.14258806
1965,-.80067599,.42531011,.41835213,-.89046824,3,51,16,6,0,260.10001,1326.51,6765.2012,34502.527,0,.42041412,.43046787,-.80067599,-.11167362
1966,-.7697013,.4210076,.41225863,-.86018842,3,52,17,7,0,270.39999,1406.08,7311.6157,38020.402,0,.42757362,.43720159,-.7697013,-.087668985
1967,-.72684801,.45491549,.44136524,-.81559908,3,53,18,8,0,280.89999,1488.77,7890.481,41819.551,0,.42737973,.43633568,-.72684801,.010115094
1968,-.72136527,.46221209,.44201374,-.80594552,3,54,19,9,0,291.60001,1574.64,8503.0557,45916.5,0,.45031983,.45937842,-.72136527,.027418306
1969,-.68193018,.45550159,.44013977,-.7645511,3,55,20,10,0,302.5,1663.75,9150.625,50328.438,0,.45224196,.46069941,-.68193018,.055982385
1970,-.62204188,.44925931,.42958546,-.70213449,3,56,21,11,0,313.60001,1756.16,9834.4961,55073.18,0,.44150269,.44893497,-.62204188,.10575821
1971,-.59201348,.4743605,.4596715,-.67194235,3,57,22,12,0,324.89999,1851.9299,10556.001,60169.207,0,.44924796,.45627409,-.59201348,.17645052
1972,-.54584342,.4603543,.44340944,-.62057763,3,58,23,13,0,336.39999,1951.12,11316.496,65635.68,0,.44700086,.45328623,-.54584342,.19993053
1973,-.4935798,.4581604,.44716263,-.5713464,3,59,24,14,0,348.10001,2053.79,12117.361,71492.43,0,.4409816,.44639987,-.4935798,.24864005
1974,-.43095049,.44149399,.43265057,-.50974774,3,60,25,15,0,360,2160,12960,77760,0,.42854553,.43288186,-.43095049,.28426978
1975,-.35359651,.4276686,.42192411,-.42469653,3,61,26,16,0,372.10001,2269.8101,13845.842,84459.633,0,.40699425,.4099434,-.35359651,.33922663
1976,-.32218891,.42538789,.42225456,-.39166757,3,62,27,17,0,384.39999,2383.28,14776.336,91613.281,0,.41388574,.41640013,-.32218891,.36693946
1977,-.2986376,.40903661,.40280533,-.36757722,3,63,28,18,0,396.89999,2500.47,15752.961,99243.656,0,.42564061,.42788309,-.2986376,.36400169
1978,-.25988969,.39563179,.37837362,-.32343706,3,64,29,19,0,409.60001,2621.4399,16777.215,107374.17,0,.42798814,.42964372,-.25988969,.38103381
1979,-.2342225,.40002391,.39025927,-.29271126,3,65,30,20,0,422.5,2746.25,17850.625,116029.06,0,.4384332,.43977299,-.2342225,.41381621
1980,-.20405219,.40211821,.39785385,-.25961351,3,66,31,21,0,435.60001,2874.96,18974.736,125233.26,0,.44609064,.44702134,-.20405219,.44737929
1981,-.1603189,.39803499,.3845129,-.21571052,3,67,32,22,0,448.89999,3007.6299,20151.121,135012.52,0,.44535199,.44559243,-.1603189,.48449779
1982,-.065812297,.4255695,.40901136,-.12184987,3,68,33,23,0,462.39999,3144.3201,21381.377,145393.36,0,.41318253,.41168022,-.065812297,.62361032
1983,-.048377998,.45452169,.44534445,-.099707514,3,69,34,24,0,476.10001,3285.0901,22667.121,156403.14,0,.42872408,.42707667,-.048377998,.68794715
1984,-.0455263,.46685791,.45688391,-.092570908,3,70,35,25,0,490,3430,24010,168070,0,.45329288,.45180267,-.0455263,.71078354
1985,-.038577601,.484292,.4758563,-.081635006,3,71,36,26,0,504.10001,3579.1101,25411.682,180422.94,0,.47532547,.47390753,-.038577601,.74597543
1986,-.017223001,.4983249,.48511124,-.055643726,3,72,37,27,0,518.40002,3732.4802,26873.857,193491.78,0,.48844019,.48679587,-.017223001,.79006332
1987,-.0138119,.500103,.48539639,-.049181238,3,73,38,28,0,532.90002,3890.1702,28398.242,207307.17,0,.51266271,.51116401,-.0138119,.79635495
1988,.025082,.5124917,.50220776,-.0070506628,3,74,39,29,0,547.59998,4052.2397,29986.574,221900.66,0,.51491988,.51283121,.025082,.85531855
1989,.023831099,.53913742,.52831888,-.00276375,3,75,40,30,0,562.5,4218.75,31640.625,237304.69,0,.54202837,.54018193,.023831099,.89723372
1990,.0330946,.53357983,.5298605,.0056419522,3,76,41,31,0,577.59998,4389.7598,33362.176,253552.53,0,.56262797,.56080586,.0330946,.8974939
1991,.057191901,.56080288,.55066586,.037039701,3,77,42,32,0,592.90002,4565.3301,35153.043,270678.44,0,.57404488,.57193947,.057191901,.96569258
1992,.1069795,.56250858,.55334139,.088740125,3,78,43,33,0,608.40002,4745.52,37015.055,288717.44,0,.56955838,.56663722,.1069795,1.0182434
1993,.1290653,.58736521,.57991219,.11575996,3,79,44,34,1,624.09998,4930.3896,38950.078,307705.63,0,.57250673,.56967634,.1290653,1.0805969
1994,.15970691,.58700699,.58523417,.15028253,3,80,45,35,2,640,5120,40960,327680,0,.57015866,.56724173,.15970691,1.1106582
