year,expcat,eu_shclg,eu_shclg_m,eu_shclg_f,eu_lnclg,eu_lnclg_m,eu_lnclg_f,hr_clg,hr_clg_m,hr_clg_f,hr_hsg,hr_hsg_m,hr_hsg_f,hr_clg_exp,hr_clg_exp_m,hr_clg_exp_f,hr_hsg_exp,hr_hsg_exp_m,hr_hsg_exp_f,euexp_shclg,euexp_shclg_m,euexp_shclg_f,euexp_lnclg,euexp_lnclg_m,euexp_lnclg_f
1963,1,.28106031,.2915853,.24113052,-.93920821,-.8876971,-1.1464914,22787299328,16957334528,5829963776,100683587584,70580822016,30102769664,7246001152,5238936576,2007064064,20303278080,12699352064,7603926016,.372062,.40525836,.28321302,-.52338094,-.38360232,-.92857939
1963,2,.28106031,.2915853,.24113052,-.93920821,-.8876971,-1.1464914,22787299328,16957334528,5829963776,100683587584,70580822016,30102769664,6306428928,5265081856,1041346880,20692928512,15496683520,5196245504,.36660898,.38728818,.25685045,-.54679215,-.45872563,-1.0624033
1963,3,.28106031,.2915853,.24113052,-.93920821,-.8876971,-1.1464914,22787299328,16957334528,5829963776,100683587584,70580822016,30102769664,5229615104,3737910272,1491704576,26277361664,18583877632,7693485056,.26493391,.26759663,.25482288,-1.02048,-1.0068507,-1.0730532
1963,4,.28106031,.2915853,.24113052,-.93920821,-.8876971,-1.1464914,22787299328,16957334528,5829963776,100683587584,70580822016,30102769664,3401708800,2261941760,1139767168,22043738112,15491133440,6552605696,.21632591,.21193327,.23200575,-1.2872071,-1.3133113,-1.1970202
1963,5,.28106031,.2915853,.24113052,-.93920821,-.8876971,-1.1464914,22787299328,16957334528,5829963776,100683587584,70580822016,30102769664,603544960,453463936,150081040,11366280192,8309771776,3056508160,.08436919,.087115213,.073049411,-2.3844109,-2.3493781,-2.5407641
1964,1,.29046446,.30092964,.25132605,-.89312935,-.84287494,-1.0915525,24155783168,17875322880,6280460288,102548496384,71651958784,30896537600,7734879744,5592409088,2142470656,21429016576,13600353280,7828662784,.37365744,.40494472,.2877402,-.51655799,-.38490376,-.90638477
1964,2,.29046446,.30092964,.25132605,-.89312935,-.84287494,-1.0915525,24155783168,17875322880,6280460288,102548496384,71651958784,30896537600,6830988288,5590510592,1240477824,20807745536,15303255040,5504488960,.38569438,.40645236,.28314278,-.46544725,-.37865075,-.9289254
1964,3,.29046446,.30092964,.25132605,-.89312935,-.84287494,-1.0915525,24155783168,17875322880,6280460288,102548496384,71651958784,30896537600,5356936192,3880062464,1476873856,26113542144,18367381504,7746160640,.27199125,.27722299,.25206885,-.98454314,-.95827854,-1.0876087
1964,4,.29046446,.30092964,.25132605,-.89312935,-.84287494,-1.0915525,24155783168,17875322880,6280460288,102548496384,71651958784,30896537600,3593265408,2371664640,1221600768,22232412160,15603180544,6629231104,.22627696,.22047369,.24664299,-1.2294543,-1.2629081,-1.1165973
1964,5,.29046446,.30092964,.25132605,-.89312935,-.84287494,-1.0915525,24155783168,17875322880,6280460288,102548496384,71651958784,30896537600,639714368,440677056,199037280,11965779968,8777787392,3187993088,.084176034,.081722796,.094157308,-2.386914,-2.4191663,-2.2638988
1965,1,.29101321,.30462077,.24144329,-.89046824,-.82538974,-1.1447829,26424866816,19616342016,6808525312,110268923904,76021800960,34247118848,9006173184,6329261568,2676911104,24236361728,15373014016,8863348736,.37156007,.39564419,.30794665,-.52552992,-.42364782,-.80973649
1965,2,.29101321,.30462077,.24144329,-.89046824,-.82538974,-1.1447829,26424866816,19616342016,6808525312,110268923904,76021800960,34247118848,7358906880,6084413952,1274492928,21671933952,15843452928,5828480512,.39247665,.4157244,.27726027,-.43691358,-.34035027,-.95809251
1965,3,.29101321,.30462077,.24144329,-.89046824,-.82538974,-1.1447829,26424866816,19616342016,6808525312,110268923904,76021800960,34247118848,5605934592,4138680576,1467254016,27394576384,18850170880,8544405504,.27332884,.28546664,.22877721,-.97779846,-.91750449,-1.2152287
1965,4,.29101321,.30462077,.24144329,-.89046824,-.82538974,-1.1447829,26424866816,19616342016,6808525312,110268923904,76021800960,34247118848,3750022912,2596695040,1153327744,24102213632,16709730304,7392482816,.22029948,.22221725,.2135015,-1.263922,-1.2527918,-1.303947
1965,5,.29101321,.30462077,.24144329,-.89046824,-.82538974,-1.1447829,26424866816,19616342016,6808525312,110268923904,76021800960,34247118848,703830528,467290752,236539776,12863834112,9245431808,3618401536,.083680838,.080443949,.095926233,-2.3933547,-2.4363303,-2.2433314
1966,1,.29729998,.31089079,.24998774,-.86018842,-.79595804,-1.0986778,27915689984,20369152000,7546536448,111862652928,75997831168,35864817664,9738532864,6704116736,3034416384,25159135232,15518337024,9640797184,.37909332,.4061448,.31217524,-.4933984,-.37992579,-.78996938
1966,2,.29729998,.31089079,.24998774,-.86018842,-.79595804,-1.0986778,27915689984,20369152000,7546536448,111862652928,75997831168,35864817664,7483071488,6084303360,1398768256,21951481856,15826334720,6125147648,.39139035,.41418949,.28502938,-.44147167,-.3466728,-.91964918
1966,3,.29729998,.31089079,.24998774,-.86018842,-.79595804,-1.0986778,27915689984,20369152000,7546536448,111862652928,75997831168,35864817664,5952956416,4426360320,1526596096,27628736512,18943504384,8685231104,.28348514,.29748303,.23210372,-.92723924,-.85931242,-1.1964704
1966,4,.29729998,.31089079,.24998774,-.86018842,-.79595804,-1.0986778,27915689984,20369152000,7546536448,111862652928,75997831168,35864817664,4068113152,2727945216,1340167808,24283312128,16654973952,7628337664,.23075175,.23011304,.2329074,-1.2040713,-1.207673,-1.1919665
1966,5,.29729998,.31089079,.24998774,-.86018842,-.79595804,-1.0986778,27915689984,20369152000,7546536448,111862652928,75997831168,35864817664,673015232,426427136,246588080,12839985152,9054680064,3785304576,.078969069,.074039377,.096491337,-2.4564373,-2.5262346,-2.2368324
1967,1,.30669865,.32013002,.26128548,-.81559908,-.75317436,-1.0392979,29966653440,21582725120,8383928320,114363580416,76995330048,37368246272,10831855616,7276011520,3555844352,26298865664,16055955456,10242911232,.39165792,.41581586,.33411875,-.44034857,-.33997372,-.68961489
1967,2,.30669865,.32013002,.26128548,-.81559908,-.75317436,-1.0392979,29966653440,21582725120,8383928320,114363580416,76995330048,37368246272,7672053760,6196320768,1475733248,22524055552,16197097472,6326958592,.39210254,.41405317,.29150757,-.43848282,-.34723464,-.88807338
1967,3,.30669865,.32013002,.26128548,-.81559908,-.75317436,-1.0392979,29966653440,21582725120,8383928320,114363580416,76995330048,37368246272,6424595968,4752441856,1672154368,27627419648,18649638912,8977780736,.30111495,.31723961,.24382733,-.84199423,-.76648659,-1.1318095
