year,clphsg_all,eu_lnclg
1963,.36622,-.93920821
1964,.3798542,-.89312935
1965,.41835213,-.89046824
1966,.41225863,-.86018842
1967,.44136524,-.81559908
1968,.44201374,-.80594552
1969,.44013977,-.7645511
1970,.42958546,-.70213449
1971,.4596715,-.67194235
1972,.44340944,-.62057763
1973,.44716263,-.5713464
1974,.43265057,-.50974774
1975,.42192411,-.42469653
1976,.42225456,-.39166757
1977,.40280533,-.36757722
1978,.37837362,-.32343706
1979,.39025927,-.29271126
1980,.39785385,-.25961351
1981,.3845129,-.21571052
1982,.40901136,-.12184987
1983,.44534445,-.099707514
1984,.45688391,-.092570908
1985,.4758563,-.081635006
1986,.48511124,-.055643726
1987,.48539639,-.049181238
1988,.50220776,-.0070506628
1989,.52831888,-.00276375
1990,.5298605,.0056419522
1991,.55066586,.037039701
1992,.55334139,.088740125
1993,.57991219,.11575996
1994,.58523417,.15028253
1995,.58909607,.13994122
1996,.58219051,.14115934
1997,.58612013,.16353334
1998,.60413504,.18927084
1999,.63101292,.21080899
2000,.62581253,.22202243
2001,.63912058,.25105479
2002,.64167356,.27422279
2003,.61936951,.28681433
2004,.63631439,.27368134
2005,.65784121,.28757605
2006,.65872431,.31539142
2007,.65508604,.35387629
2008,.67072916,.37355149
2009,.66427374,.40417668
2010,.6708765,.45060238
2011,.67858171,.45926031
2012,.66940594,.48218989
2013,.66368294,.48495141
2014,.66982031,.49017394
2015,.66698599,.51816732
2016,.66832113,.5319593
2017,.67037439,.56008404
