year,clphsg_all,clghsg_all,clphsg_all_m,clghsg_all_m,clphsg_all_f,clghsg_all_f,eu_shclg,eu_shclg_m,eu_shclg_f,eu_lnclg,eu_lnclg_m,eu_lnclg_f,hr_clg,hr_clg_m,hr_clg_f,hr_hsg,hr_hsg_m,hr_hsg_f,hr_clg_exp,hr_clg_exp_m,hr_clg_exp_f,hr_hsg_exp,hr_hsg_exp_m,hr_hsg_exp_f,euexp_shclg,euexp_shclg_m,euexp_shclg_f,euexp_lnclg,euexp_lnclg_m,euexp_lnclg_f,t,t2,t3,gap6387,gap_linear,gap_quadratic,gap_cubic,exp_gap_quadratic,exp_clphsg_all
1963,.36622,.33422518,.31205559,.30157185,.41550446,.36910725,.28106031,.2915853,.24113052,-.93920821,-.8876971,-1.1464914,22787299328,16957334528,5829963776,100683587584,70580822016,30102769664,7246001152,5238936576,2007064064,20303278080,12699352064,7603926016,.372062,.40525836,.28321302,-.52338094,-.38360232,-.92857939,1,1,1,.38558528,.38966274,.35543963,.39244708,42.680779,44.227249
1964,.3798542,.34236908,.30545187,.30532122,.45552683,.38262177,.29046446,.30092964,.25132605,-.89312935,-.84287494,-1.0915525,24155783168,17875322880,6280460288,102548496384,71651958784,30896537600,7734879744,5592409088,2142470656,21429016576,13600353280,7828662784,.37365744,.40494472,.2877402,-.51655799,-.38490376,-.90638477,2,4,8,.38432997,.39225867,.36011878,.39023867,43.349968,46.207142
1965,.41835213,.3643713,.35903835,.32007599,.47328949,.41359472,.29101321,.30462077,.24144329,-.89046824,-.82538974,-1.1447829,26424866816,19616342016,6808525312,110268923904,76021800960,34247118848,9006173184,6329261568,2676911104,24236361728,15373014016,8863348736,.37156007,.39564419,.30794665,-.52552992,-.42364782,-.80973649,3,9,27,.41126487,.40345937,.39431688,.41012841,48.337051,51.94556
1966,.41225863,.36167049,.35710335,.33404541,.4606595,.38961172,.29729998,.31089079,.24998774,-.86018842,-.79595804,-1.0986778,27915689984,20369152000,7546536448,111862652928,75997831168,35864817664,9738532864,6704116736,3034416384,25159135232,15518337024,9640797184,.37909332,.4061448,.31217524,-.4933984,-.37992579,-.78996938,4,16,64,.42026755,.40918642,.40903851,.41651824,50.536968,51.022495
1967,.44136524,.38013744,.39918995,.3582449,.4732666,.40107536,.30669865,.32013002,.26128548,-.81559908,-.75317436,-1.0392979,29966653440,21582725120,8383928320,114363580416,76995330048,37368246272,10831855616,7276011520,3555844352,26298865664,16055955456,10242911232,.39165792,.41581586,.33411875,-.44034857,-.33997372,-.68961489,5,25,125,.41997936,.41207755,.41346326,.41604811,51.204533,55.482849
1968,.44201374,.38754129,.39227247,.36292934,.48371983,.41182899,.30875516,.32333577,.26041499,-.80594552,-.73848391,-1.0438128,30911897600,22232567808,8679327744,115827884032,77328834560,38499049472,11477804032,7613377024,3864426752,27011182592,16290118656,10721064960,.39862987,.42181706,.34558499,-.41117725,-.31531858,-.63850313,6,36,216,.44237423,.42189243,.44155675,.43335372,55.512627,55.583714
1969,.44013977,.3952322,.40276432,.37015009,.46504498,.42002773,.31765899,.33251667,.26922891,-.7645511,-.69682443,-.99853832,32522395648,23259439104,9262954496,116409188352,77225271296,39183921152,12157617152,8101396480,4056220672,28091568128,16767255552,11324311552,.40394449,.43161532,.34084222,-.38905632,-.2752637,-.65954328,7,49,343,.44416043,.42541674,.44733062,.43502039,56.413136,55.292427
1970,.42958546,.38203192,.4063201,.3652277,.436306,.39657307,.33133915,.34503499,.2874144,-.70213449,-.64093602,-.90797496,34518032384,24357804032,10160227328,114614501376,75901902848,38712598528,13486610432,8775320576,4711290368,27781445632,16847009792,10934435840,.42649254,.44446903,.38594973,-.29617605,-.22304396,-.46436965,8,64,512,.43229738,.42477474,.43817773,.42639071,54.988033,53.662041
1971,.4596715,.40038729,.41593599,.37345076,.49410295,.42780733,.33806205,.35325006,.2895661,-.67194235,-.60478354,-.89749229,36061937664,25613973504,10447963136,115758505984,76370542592,39387971584,14735171584,9728304128,5006867456,28925874176,17583880192,11341995008,.44189307,.46277118,.39392295,-.23348264,-.14919141,-.43085176,9,81,729,.44135699,.43051916,.45082358,.43410426,56.960434,58.35537
1972,.44340944,.38963604,.40057993,.36184025,.47559595,.41785526,.34965008,.3644439,.30273658,-.62057763,-.55612773,-.83430022,38851592192,27425290240,11426300928,118046367744,77773422592,40272941056,16237285376,10594822144,5642463744,31052974080,19014414336,12038558720,.44893497,.46565211,.41085571,-.20497477,-.1376083,-.36042905,10,100,1000,.43666971,.43206751,.44843894,.43139631,56.586586,55.80101
1973,.44716263,.38841009,.41179514,.36918497,.46892405,.4056983,.36092621,.37573251,.31499124,-.5713464,-.50770146,-.77688682,41715236864,29167984640,12547254272,120097374208,78611857408,41485516800,18282328064,11812536320,6469792256,33287151616,20383260672,12903890944,.46331805,.47890082,.42818028,-.14699189,-.08444687,-.28927946,11,121,1331,.43336764,.43403867,.44709858,.42991295,56.376846,56.38686
1974,.43265057,.37468338,.39144611,.34713078,.46212626,.40244913,.37525266,.39123893,.32784122,-.50974774,-.44210741,-.71796519,44355252224,30670200832,13685053440,119099047936,76533653504,42565398528,20084908032,12914203648,7170704896,33988626432,20364537856,13624089600,.4829725,.50170898,.44216785,-.068136334,.006835964,-.23236856,12,144,1728,.42203566,.43355876,.43680087,.4223676,54.774784,54.133755
1975,.42192411,.36710739,.37990332,.34112167,.45425749,.39338112,.39539346,.41174749,.34752977,-.42469653,-.35674605,-.62991518,46745600000,32126203904,14619394048,115303727104,73553707008,41750016000,21043630080,13416238080,7627392512,32383637504,19068440576,13315196928,.50977767,.53088146,.4650901,.039115649,.12368329,-.13986719,13,169,2197,.39547646,.42843091,.40990016,.40318418,50.666737,52.489281
1976,.42225456,.35651636,.38198996,.33354712,.45208168,.37894297,.40331593,.42065459,.35299686,-.39166757,-.32008681,-.605892,49161277440,33753075712,15408201728,117900042240,74920435712,42979606528,22167879680,13997619200,8170260992,34303125504,20455745536,13847379968,.50924152,.52596921,.47385561,.036970295,.10397039,-.10467301,14,196,2744,.40269417,.43361315,.41845313,.41013348,51.960911,52.539677
1977,.40280533,.33797932,.36219835,.31264019,.43253803,.36324215,.40912658,.42842162,.35424268,-.36757722,-.28829384,-.60044152,51819212800,35386736640,16432474112,121668878336,76480593920,45188284416,23028205568,14389163008,8639043584,36017831936,21459189760,14558642176,.50660795,.52272242,.47283462,.026433337,.090952337,-.10876864,15,225,3375,.41571555,.44056687,.432744,.42161545,54.148155,49.601563
1978,.37837362,.31873894,.34372997,.29996014,.40057135,.33584833,.41983834,.4384273,.36901343,-.32343706,-.24754724,-.53645152,55799463936,37512450048,18287015936,125314523136,77851172864,47463350272,24588527616,15206716416,9381811200,38351212544,22681835520,15669379072,.50760305,.52237451,.47728938,.030414542,.089557856,-.090905033,16,256,4096,.415719,.44354701,.43277884,.42308852,54.153526,45.990829
1979,.39025927,.32509899,.34979248,.2993803,.41993189,.35087538,.42734024,.44547245,.3796486,-.29271126,-.21898109,-.49104002,58278047744,38509801472,19768246272,127368159232,78345035776,49023123456,25165957120,15251526656,9914430464,39574351872,23642050560,15932300288,.50544715,.51418591,.48785648,.02178946,.056758855,-.048583645,17,289,4913,.4244321,.44918567,.44163859,.43128574,55.525356,47.736378
1980,.39785385,.33298922,.36561918,.31512594,.41747427,.34911728,.43545872,.45496866,.38581893,-.25961351,-.18061475,-.46492162,60550037504,39536496640,21013538816,128410501120,77835575296,50574921728,25277556736,14852610048,10424945664,40386199552,23874654208,16511546368,.49871218,.50280643,.49089774,-.005151283,.011225819,-.036413044,18,324,5832,.43160516,.45435426,.44843513,.4382768,56.585991,48.862644
1981,.3845129,.31794453,.34920073,.29465055,.40890598,.34110165,.44628051,.4664073,.3957918,-.21571052,-.13457353,-.42303053,62478856192,40606228480,21872627712,127353659392,76531236864,50822422528,25442070528,14761315328,10680754176,39107420160,22889064448,16218356736,.50937313,.51237214,.50381613,.037496906,.049498647,.015264807,19,361,6859,.43176261,.4573814,.44735175,.43981355,56.416439,46.889866
1982,.40901136,.34383202,.38193989,.32636023,.42313528,.35984898,.46957517,.48971772,.42091081,-.12184987,-.041134913,-.31903556,65664901120,41976745984,23688153088,121685630976,71980449792,49705181184,26432864256,15062088704,11370776576,36821700608,21192677376,15629023232,.53264505,.53525215,.52802455,.13076621,.14124297,.11221582,20,400,8000,.39948362,.45050764,.41138422,.41626465,50.890499,50.532883
1983,.44534445,.3817091,.42536497,.37574291,.45144272,.38361454,.47509375,.49314567,.43245673,-.099707514,-.027419019,-.2718347,68304773120,43020976128,25283796992,124070027264,73132146688,50937880576,26106585088,14493103104,11613480960,36807917568,21181296640,15626619904,.52793002,.5241822,.5343529,.11183651,.096804328,.13762842,21,441,9261,.41376978,.45784742,.4244552,.42853716,52.875732,56.102779
1984,.45688391,.38804007,.4337225,.37885952,.46671438,.39385843,.47687379,.49270046,.43983898,-.092570908,-.029200245,-.2418156,72367816704,45165932544,27201882112,129715298304,76720898048,52994396160,27245430784,15102110720,12143321088,38608392192,22486218752,16122175488,.52292907,.51597285,.53495437,.091780663,.063913159,.14004593,22,484,10648,.43779883,.46816114,.4474487,.44820601,56.431606,57.914555
1985,.4758563,.40538454,.46001959,.39548588,.47761679,.41257286,.47960258,.49300894,.44862872,-.081635006,-.027966056,-.20621276,75418320896,46639259648,28779063296,132283318272,78260584448,54022737920,28506898432,15807881216,12699017216,38845161472,22618583040,16226577408,.53234398,.52517825,.54475445,.12955685,.10079827,.17949818,23,529,12167,.45936108,.4777219,.46739453,.46582922,59.583088,60.939175
1986,.48511124,.42045736,.46113729,.4038291,.49768734,.43611622,.48609266,.50015169,.45395777,-.055643726,.00060677528,-.18469216,78497865728,48305270784,30192594944,134852837376,79312429056,55540408320,28692252672,15920226304,12772027392,39051280384,22608367616,16442913792,.53283352,.52782828,.54148442,.13152334,.11142825,.16632001,24,576,13824,.47114822,.48429888,.47652906,.47574514,61.047482,62.43557
1987,.48539639,.40848255,.46733141,.39802408,.49023247,.41640282,.48770717,.50169224,.45656088,-.049181238,.006768968,-.17419563,80759554048,49188810752,31570741248,138238115840,80504930304,57733181440,28828166144,15893140480,12935024640,38997377024,22293643264,16703735808,.5355612,.53203756,.54149181,.1424854,.12832604,.16634977,25,625,15625,.49561498,.49474621,.4987058,.49524757,64.65889,62.481892
1988,.50220776,.43701029,.4760294,.41782856,.51810932,.45599318,.49823734,.5109992,.47008371,-.0070506628,.044003911,-.11980825,84993146880,51468251136,33524895744,139128422400,80940802048,58187624448,29374148608,16098464768,13275684864,38132011008,22096250880,16035760128,.54606074,.53761721,.5602783,.18476681,.15075369,.24229158,26,676,17576,.49692321,.4981246,.49585417,.49667057,64.19001,65.236526
1989,.52831888,.46112299,.50104094,.43555641,.54584694,.48819542,.49930906,.50902617,.47807789,-.00276375,.036108602,-.087744698,87154606080,52140392448,35014213632,141057703936,82342371328,58715336704,29353949184,15656701952,13697247232,37370388480,21756237824,15614152704,.54964268,.53417832,.57489073,.19922709,.1369268,.30183375,27,729,19683,.52280253,.5090031,.51867694,.51680183,67.98037,69.607857
1990,.5298605,.45842838,.51118755,.44570351,.53797913,.46988106,.50141048,.50885361,.48542166,.0056419522,.03541816,-.058329903,87953350656,51977027584,35976323072,140904873984,82133319680,58771566592,28111822848,14888718336,13223104512,36163932160,20913649664,15250282496,.54492301,.52765447,.57257354,.1801779,.11073088,.29235893,28,784,21952,.54600757,.51906532,.53823167,.53460276,71.297508,69.86953
1991,.55066586,.47110367,.53958273,.46185827,.54964209,.47843933,.50925887,.51697284,.49310723,.037039701,.067917451,-.027572829,89686605824,52401328128,37285281792,138664951808,79889915904,58775031808,27075551232,14295051264,12780499968,34596421632,20071514112,14524906496,.54664201,.52913839,.57489228,.18711203,.11668576,.3018401,29,841,24389,.55428439,.52457082,.54150099,.5405972,71.858452,73.44075
1992,.55334139,.47565317,.54054832,.46440411,.55511189,.4856534,.52217048,.5283882,.50923234,.088740125,.11367506,.036933567,93744955392,54455377920,39289581568,136554217472,78736605184,57817608192,27675084800,14657021952,13018062848,32321781760,18840799232,13480981504,.56879836,.55236715,.59546882,.27695018,.21023959,.38662019,30,900,27000,.54937917,.52605259,.53033984,.536107,69.950974,73.905418
1993,.57991219,.49525976,.56405973,.48172188,.58574009,.50813961,.52890772,.53419679,.51789665,.11575996,.13700105,.071617201,97500520448,56446631936,41053892608,137855762432,79804088320,58051670016,27959160832,14663820288,13295340544,33400473600,19831572480,13568901120,.56100476,.53776443,.59888452,.24524081,.15134595,.40081945,31,961,29791,.56049848,.53242576,.53577417,.54363358,70.87706,78.588158
1994,.58523417,.49545574,.56383419,.47311401,.59805679,.51932001,.53750008,.54278767,.52639586,.15028253,.17157032,.10568168,101697789952,59121917952,42575876096,139224432640,80841916416,58382508032,28913332224,15408362496,13504968704,33282760704,19780194304,13502567424,.57215661,.55254233,.60464126,.29065552,.21094809,.42484176,32,1024,32768,.56674641,.53731197,.5356065,.54703552,70.848412,79.541138
1995,.58909607,.49469948,.57353497,.47551155,.5938406,.51451302,.53492832,.53692102,.53083026,.13994122,.14795341,.1234777,103692566528,59416461312,44276105216,142277197824,82580529152,59696668672,29868171264,15800269824,14067900416,32867661824,19558584320,13309076480,.58568871,.5643217,.62064558,.34617084,.25872034,.4922893,33,1089,35937,.6021235,.55108953,.56595522,.57251167,76.112923,80.235847
1996,.58219051,.49010134,.55049324,.45290899,.60823202,.53254318,.53523135,.53621763,.53321773,.14115934,.14512469,.13306691,105643704320,60201570304,45442134016,144913727488,84051288064,60862451712,29828864000,15619872768,14208992256,33323988992,19580450816,13743538176,.58248109,.55994862,.61833835,.33296686,.24095355,.4825013,34,1156,39304,.62999529,.56257623,.58790386,.59178174,80.021095,78.995506
1997,.58612013,.49537277,.56935549,.47613811,.59270382,.515306,.54079247,.54026049,.54187596,.16353334,.16139138,.16789714,109043990528,61793673216,47250321408,146462261248,85094121472,61368147968,29813833728,15304841216,14508991488,33534183424,19601387520,13932796928,.58037788,.55472755,.61995357,.32432482,.21979077,.48935118,35,1225,42875,.64413106,.56987011,.59483355,.60001522,81.272919,79.700272
1998,.60413504,.52195358,.59949732,.51630545,.59505844,.52490473,.54717696,.54741281,.54669797,.18927084,.19022278,.18733788,112757112832,63998353408,48758759424,148200292352,85863350272,62336950272,30321876992,15615670272,14706206720,34489126912,20202496000,14286630912,.58020008,.55525017,.61866271,.32359478,.22190681,.48387599,36,1296,46656,.65608293,.57649738,.59901613,.6060971,82.032692,82.966896
1999,.63101292,.54217768,.61457109,.52787924,.63680935,.55579281,.55250794,.55287457,.55177689,.21080899,.21229199,.20785265,116427227136,65552424960,50874802176,149634842624,85917343744,63717502976,30681522176,15781865472,14899657728,34218528768,19904520192,14314007552,.58710963,.56411481,.62234765,.35202944,.2578789,.4995248,37,1369,50653,.67076141,.5839569,.60566783,.61378974,83.247559,87.95134
2000,.62581253,.54320765,.61436129,.53441858,.6260581,.55018044,.55527872,.55450106,.55682009,.22202243,.21887384,.2282664,118728024064,66383208448,52344811520,150456877056,86377480192,64079405056,31468347392,15806587904,15661758464,34552389632,20043649024,14508740608,.58977622,.56231856,.63060707,.36304036,.25057718,.53482205,38,1444,54872,.69214344,.59346265,.61901349,.62613553,85.709511,86.976456
2001,.63912058,.55328894,.63856268,.55351257,.62580776,.54917002,.5624361,.5604412,.56637073,.25105479,.24295282,.26705888,121031835648,67516719104,53515120640,149805383680,86291857408,63513530368,31257141248,15882492928,15374649344,33991579648,19884701696,14106877952,.59481901,.56626171,.63776046,.38392332,.266615,.56565708,39,1521,59319,.70195609,.59943694,.61964178,.62901604,85.826225,89.481384
2002,.64167356,.55493879,.6378355,.54739094,.63268328,.56060076,.5681293,.56627667,.57178348,.27422279,.26667592,.28913143,122256973824,68193058816,54063915008,148122304512,85473009664,62649290752,30469382144,15435758592,15033622528,33068675072,19607408640,13461267456,.59215289,.56016797,.64082032,.3728725,.24184377,.57892638,40,1600,64000,.71557629,.60657346,.6238876,.63426626,86.61689,89.965744
2003,.61936951,.52495003,.61346817,.51632357,.61372137,.5321312,.57121605,.56665003,.58017534,.28681433,.26819625,.32349321,123043602432,68069974016,54973624320,146506006528,85029486592,61476519936,30394644480,15220169728,15174475776,32524220416,19449040896,13075178496,.59532326,.55920345,.64977258,.38601598,.23792991,.61803973,41,1681,68921,.7360636,.6158061,.635001,.64422089,88.7024,85.775635
2004,.63631439,.53795767,.64224863,.5410943,.6151619,.53038979,.56799644,.55897367,.58575696,.27368134,.2369978,.34645209,124413050880,68213374976,56199675904,149337866240,87916126208,61421740032,30576723968,15307266048,15269457920,33610280960,20277913600,13332368384,.58591098,.5465951,.64600962,.34708688,.18692274,.60154468,42,1764,74088,.77325326,.63013697,.66342998,.66644084,94.144005,88.950409
2005,.65784121,.55715084,.66574621,.56108618,.6336689,.5484705,.57140261,.56105191,.59172881,.28757605,.24543226,.37111679,128062955520,70039404544,58023550976,150860283904,89108979712,61751304192,31453016064,15684493312,15768522752,34111057920,20581601280,13529455616,.58585542,.54425287,.6484071,.34685791,.17747587,.61204475,43,1849,79507,.79289442,.63911134,.67279005,.67448419,95.969734,93.062004
2006,.65872431,.56257248,.65600395,.55518579,.64825916,.56803513,.5782007,.56746894,.59924269,.31539142,.27153188,.40231064,132243341312,72266416128,59976916992,151989780480,89912713216,62077071360,33228609536,16664860672,16563749888,34183956480,20789772288,13394185216,.60037494,.55887562,.66350394,.4070276,.23660007,.6789484,44,1936,85184,.80349725,.64532679,.67212147,.67488974,95.83876,93.232574
2007,.65508604,.56432915,.65175867,.56017017,.64542484,.5657196,.58755726,.5742867,.61301959,.35387629,.29936263,.46002281,136044781568,73403359232,62641426432,149171912704,88093106176,61078814720,34484043776,16929936384,17554106368,33568606208,20227983360,13340620800,.61236846,.56820822,.67648745,.45727894,.27454445,.73767596,45,2025,91125,.80717254,.64942777,.66366667,.66926056,94.189957,92.530815
2008,.67072916,.57162333,.67832279,.57665539,.64653969,.5614419,.59231687,.57898182,.6175738,.37355149,.31859505,.47926286,134555811840,72229421056,62326390784,144353361920,84814856192,59538505728,34506530816,16866684928,17639847936,31653437440,19218040832,12435396608,.62518114,.57832724,.69292831,.51159853,.31591031,.81384534,46,2116,97336,.82306057,.65725648,.66775805,.67233407,94.986092,95.566277
2009,.66427374,.56020641,.67425919,.5722971,.63812637,.54146528,.59969074,.58617479,.62461919,.40417668,.34817433,.50920117,130979274752,69469798400,61509476352,135896809472,78767702016,57129111552,33323401216,16203918336,17119482880,28310532096,16529184768,11781347328,.64456838,.60669887,.69711155,.59524804,.43345702,.83358085,47,2209,103823,.83183903,.66291511,.66386974,.6691826,94.229401,94.307884
