year,contributions
1965,3.13
1966,3.278
1967,3.931
1968,3.799
1969,4.017
1970,4.148
1971,4.065
1972,4.121
1973,4.448
1974,4.884
1975,5.047
1976,4.878
1977,5.175
1978,5.22
1979,5.373
1980,5.591
1981,5.78
1982,6.096
1983,5.82
1984,6.007
1985,6.203
1986,6.311
1987,6.389
1988,6.554
1989,6.566
1990,6.911
1991,7.019000000000001
1992,7.011000000000001
1993,6.992999999999999
1994,7.007999999999999
1995,7.01
1996,6.91
1997,6.880999999999999
1998,6.927
1999,6.901
2000,6.919999999999999
2001,6.965
2002,6.911
2003,6.836
2004,6.823
2005,6.734
2006,6.711
2007,6.675000000000001
2008,6.725
2009,6.694
2010,6.569999999999999
2011,5.905
2012,5.877
2013,6.587
2014,6.603000000000001
2015,6.646
2016,6.656000000000001
2017,6.696
2018,6.656999999999999
2019,6.689
2020,6.909
2021,6.631
2022,6.59
