year,rtfpna
1950,
1951,
1952,
1953,
1954,-.4306340439417592
1955,-.3987916184772037
1956,-.4044951256693605
1957,-.3936713984289794
1958,-.3918635353542664
1959,-.3639805009040571
1960,-.3586130521984732
1961,-.3492074577955545
1962,-.3272942056345398
1963,-.3127961409311638
1964,-.29720536761321
1965,-.2815872340387416
1966,-.266452075251112
1967,-.2708701632579837
1968,-.2577084276972141
1969,-.2645256516701001
1970,-.2700104367270945
1971,-.2503365729278829
1972,-.2347058471986364
1973,-.221049509598658
1974,-.2484808823027225
1975,-.2473402346922416
1976,-.2278977849956769
1977,-.2212913248740848
1978,-.2155010267093955
1979,-.2230191939555828
1980,-.2407718525796833
1981,-.2345049249300831
1982,-.2536950593147124
1983,-.233883195922648
1984,-.2121605227035627
1985,-.2038970421158995
1986,-.1931712900102767
1987,-.1928143075363636
1988,-.1833963290629495
1989,-.17845089319535
1990,-.1740453665623086
1991,-.1773205927628432
1992,-.1527425979692758
1993,-.151374160063292
1994,-.1454328781436299
1995,-.1472607089856265
1996,-.1383350570889312
1997,-.1293434623104195
1998,-.119441941545595
1999,-.10568530774728
2000,-.0954282397325661
2001,-.0935283674012955
2002,-.0801187064834614
2003,-.0610449005150805
2004,-.0437776174881092
2005,-.0328386342578561
2006,-.0322039814623401
2007,-.03403952333733
2008,-.040479286807364
2009,-.0399873414713825
2010,-.0235689544988043
2011,-.02544311396802
2012,-.0228125773923947
2013,-.0208541111268834
2014,-.0161570369290929
2015,-.0071745974725194
2016,-.0063019065068456
2017,0
2018,.0081486390662883
2019,.0167215660970699
